lemma,poscode,surface
Rob High,0,Rob High
Beth Smith,0,Beth Smith
David Kenny,0,David Kenny
John Kelly,0,John Kelly
Virginia Rometty,0,Virginia Rometty
Max Mustermann,0,Max Mustermann
Gary,0,Gary
Bob,0,Bob
Alice,0,Alice
Mary Barra,0,Mary Barra
Indra Nooyi,0,Indra Nooyi
Meg Whitman,0,Meg Whitman
Kenneth I. Chenault,0,Kenneth I. Chenault
Michael L. Eskew,0,Michael L. Eskew
David N. Farr,0,David N. Farr
Mark Fields,0,Mark Fields
Alex Gorsky,0,Alex Gorsky
Shirley Ann Jackson,0,Shirley Ann Jackson
Andrew N. Liveris,0,Andrew N. Liveris
James McNerney,0,James McNerney
Hutham S. Olayan,0,Hutham S. Olayan
James W. Owens,0,James W. Owens
Sidney Taurel,0,Sidney Taurel
Peter R. Voser,0,Peter R. Voser
"Abbott, Tony",0,"Abbott, Tony"
"Abe, Shinzo",0,"Abe, Shinzo"
"al-Assad, Bashar Hafez",0,"al-Assad, Bashar Hafez"
"Bachelet Jeria, Veronica Michelle",0,"Bachelet Jeria, Veronica Michelle"
"Burkhalter, Didier",0,"Burkhalter, Didier"
"Cartes, Horacio",0,"Cartes, Horacio"
"Chan-o-cha, Prayut",0,"Chan-o-cha, Prayut"
"el-Sisi, Abdel Fattah",0,"el-Sisi, Abdel Fattah"
"Fernandez de Kirchner, Cristina",0,"Fernandez de Kirchner, Cristina"
"Gauck, Joachim",0,"Gauck, Joachim"
"Hamid, Abdul",0,"Hamid, Abdul"
"Higgins, Michael Daniel",0,"Higgins, Michael Daniel"
"Humala Tasso, Ollanta Moises",0,"Humala Tasso, Ollanta Moises"
"Josipovic, Ivo",0,"Josipovic, Ivo"
"Key, John Phillip",0,"Key, John Phillip"
"Kiska, Andrej",0,"Kiska, Andrej"
"Lofven, Stefan",0,"Lofven, Stefan"
"Mahama, John Dramani",0,"Mahama, John Dramani"
"Medina Sanchez, Danilo",0,"Medina Sanchez, Danilo"
"Morales Ayma, Juan Evo",0,"Morales Ayma, Juan Evo"
"Mukherjee, Pranab",0,"Mukherjee, Pranab"
"Netanyahu, Benjamin",0,"Netanyahu, Benjamin"
"Obama, Barack Hussein",0,"Obama, Barack Hussein"
"Papoulias, Karolos",0,"Papoulias, Karolos"
"Pena Nieto, Enrique",0,"Pena Nieto, Enrique"
"Poroshenko, Petro",0,"Poroshenko, Petro"
"Rajoy Brey, Mariano",0,"Rajoy Brey, Mariano"
"Renzi, Matteo",0,"Renzi, Matteo"
"Rousseff, Dilma",0,"Rousseff, Dilma"
"Santos Calderon, Juan Manuel",0,"Santos Calderon, Juan Manuel"
"Solis, Luis Guillermo",0,"Solis, Luis Guillermo"
"Thorning-Schmidt, Helle",0,"Thorning-Schmidt, Helle"
"Varela, Juan Carlos",0,"Varela, Juan Carlos"
"Xi, Jinping",0,"Xi, Jinping"
"Zuma, Jacob",0,"Zuma, Jacob"
"Abbas, Mahmoud",0,"Abbas, Mahmoud"
"Abdulaziz Al Saud, Abdullah bin",0,"Abdulaziz Al Saud, Abdullah bin"
"Ader, Janos",0,"Ader, Janos"
"Aquino III, Benigno",0,"Aquino III, Benigno"
"Basescu, Traian",0,"Basescu, Traian"
"Cameron, David William Donald",0,"Cameron, David William Donald"
"Cavaco Silva, Anibal Antonio",0,"Cavaco Silva, Anibal Antonio"
"Correa Delgado, Rafael Vicente",0,"Correa Delgado, Rafael Vicente"
"Erdogan, Recep Tayyip",0,"Erdogan, Recep Tayyip"
Narendra Modi,0,Narendra Modi
"Fischer, Heinz",0,"Fischer, Heinz"
"Ghani, Ashraf",0,"Ghani, Ashraf"
"Harper, Stephen Joseph",0,"Harper, Stephen Joseph"
"Hollande, Francois Gerard Georges Nicolas",0,"Hollande, Francois Gerard Georges Nicolas"
"Hussain, Mamnoon",0,"Hussain, Mamnoon"
"Kenyatta, Uhuru",0,"Kenyatta, Uhuru"
"Kim, Jong-un",0,"Kim, Jong-un"
"Maduro, Nicolas",0,"Maduro, Nicolas"
"Masum, Fuad",0,"Masum, Fuad"
"Michel, Charles",0,"Michel, Charles"
"Mujica Cordano, Jose Alberto",0,"Mujica Cordano, Jose Alberto"
"Napolitano, Giorgio",0,"Napolitano, Giorgio"
"Niinisto, Sauli",0,"Niinisto, Sauli"
"Ortega Saavedra, Jose Daniel",0,"Ortega Saavedra, Jose Daniel"
"Park, Geun-hye",0,"Park, Geun-hye"
"Perez Molina, Otto Fernando",0,"Perez Molina, Otto Fernando"
"Putin, Vladimir Vladimirovich",0,"Putin, Vladimir Vladimirovich"
"Razak, Mohd Najib",0,"Razak, Mohd Najib"
"Rouhani, Hassan",0,"Rouhani, Hassan"
"Rutte, Mark",0,"Rutte, Mark"
"Solberg, Erna",0,"Solberg, Erna"
"Tan Keng Yam, Tony",0,"Tan Keng Yam, Tony"
"Truong Tan, Sang",0,"Truong Tan, Sang"
"Widodo, Joko",0,"Widodo, Joko"
"Zeman, Milos",0,"Zeman, Milos"